# T (K), alpha_33 (Neper/m)
2.453500000000000014e+00,5.532781320646336098e-01
2.453300000000000036e+00,6.725763379620275373e-01
2.453100000000000058e+00,4.468799154994940181e-01
2.452999999999999847e+00,2.699101735163367266e-01
2.452700000000000102e+00,1.356670825532546587e-01
2.452599999999999891e+00,6.381438663718199678e-01
2.452500000000000124e+00,9.751333617628006323e-01
2.451999999999999957e+00,1.052030358605634319e+00
2.451900000000000190e+00,1.299734108268694399e+00
2.451799999999999979e+00,1.338461207251611995e+00
2.451600000000000001e+00,9.982433177322036499e-01
2.451400000000000023e+00,7.543005903974062676e-01
2.451200000000000045e+00,7.184693535812129994e-01
2.451000000000000068e+00,4.143604495586714620e-01
2.450899999999999856e+00,5.387227838150465686e-02
2.450800000000000090e+00,-2.263472105353230290e-01
2.450600000000000112e+00,-2.614193891618015186e-01
2.450499999999999901e+00,-8.010987252691847971e-02
2.450299999999999923e+00,-2.845598611957029789e-01
2.450000000000000178e+00,-7.116647225302585866e-03
2.449899999999999967e+00,1.401934572752452368e-01
2.449800000000000200e+00,5.022635350026121159e-01
2.449699999999999989e+00,1.115948410263172264e-01
2.449600000000000222e+00,-2.394379748707251565e-01
2.449399999999999800e+00,-8.858108402207562904e-01
2.449300000000000033e+00,-7.953441370489144902e-01
2.448999999999999844e+00,-9.949945457722151332e-01
2.448799999999999866e+00,-4.719932279992917756e-01
2.448700000000000099e+00,2.620960127585476584e-01
2.448399999999999910e+00,9.256214965855633636e-01
2.448300000000000143e+00,1.117939494855136218e+00
2.448199999999999932e+00,7.081309270602105244e-01
2.447799999999999976e+00,-3.936925315997541475e-02
2.447700000000000209e+00,-7.158726197440046235e-02
2.447599999999999998e+00,2.794181971601119585e-01
2.447499999999999787e+00,6.800032589142119832e-01
2.447299999999999809e+00,1.368514774951563595e+00
2.447200000000000042e+00,2.279693533924955773e+00
2.447000000000000064e+00,2.586779029879153313e+00
2.446800000000000086e+00,2.270671593726092397e+00
2.446499999999999897e+00,1.235644565268785300e+00
2.446299999999999919e+00,8.535954651213160105e-01
2.446099999999999941e+00,2.745430031582145602e-01
2.446000000000000174e+00,-2.218212997750015347e-01
2.445699999999999985e+00,-3.378709432413415925e-01
2.445600000000000218e+00,-8.106582928212446859e-02
2.445500000000000007e+00,8.042416777698235819e-02
2.445399999999999796e+00,-3.914216640168888262e-02
2.444900000000000073e+00,-2.154540678463945369e-01
2.444799999999999862e+00,-3.021547037851632922e-01
2.444700000000000095e+00,-1.042823375180432777e-01
2.444399999999999906e+00,7.172918264063810057e-02
2.444300000000000139e+00,5.981729816669485444e-01
2.444199999999999928e+00,1.449019949280227593e+00
2.444100000000000161e+00,1.906968758327366231e+00
2.443799999999999972e+00,2.219100678667928150e+00
2.443700000000000205e+00,2.281388004685368287e+00
2.443499999999999783e+00,1.857510644153308021e+00
2.443400000000000016e+00,1.249347011910231231e+00
2.443299999999999805e+00,9.057270693615464552e-01
2.443200000000000038e+00,9.990772431040113588e-01
2.443000000000000060e+00,5.887537929950212856e-01
2.442699999999999871e+00,8.731394218536934204e-01
2.442600000000000104e+00,9.015472670807866962e-01
2.442499999999999893e+00,8.042619065638518805e-01
2.442400000000000126e+00,2.326880258065102680e-01
2.442200000000000149e+00,5.997053992700784875e-02
2.441899999999999959e+00,-2.997637524945275800e-01
2.441800000000000193e+00,-3.489809145894469111e-01
2.441600000000000215e+00,-2.382216766686724441e-01
2.441399999999999793e+00,-8.135351443115723669e-03
2.441199999999999815e+00,5.694723639408039162e-02
2.440999999999999837e+00,1.363049649655749818e-01
2.440799999999999859e+00,-2.523026234680401103e-01
2.440500000000000114e+00,-3.790445891186209337e-01
2.440399999999999903e+00,-5.897951250406094914e-01
2.440300000000000136e+00,-6.081461337837481551e-01
2.440100000000000158e+00,-8.631036966783085518e-01
2.439999999999999947e+00,-5.094334969739975350e-01
2.439700000000000202e+00,-5.714352237037019222e-01
2.439599999999999991e+00,-2.670224242820040672e-01
2.439499999999999780e+00,1.243754433955928107e-01
2.439200000000000035e+00,7.251304983185491437e-01
2.439000000000000057e+00,7.595234580128362722e-01
2.438800000000000079e+00,8.810537274484886439e-01
2.438699999999999868e+00,1.087454553230145393e+00
2.438499999999999890e+00,1.306859830303665149e+00
2.438400000000000123e+00,1.436524117367753206e+00
2.438299999999999912e+00,1.704869395194009485e+00
2.438200000000000145e+00,1.769358794114168631e+00
2.438000000000000167e+00,1.213104519343460197e+00
2.437800000000000189e+00,7.496657602744107862e-01
2.437699999999999978e+00,4.139657330024419934e-01
2.437500000000000000e+00,2.907184279313241859e-01
2.437300000000000022e+00,2.763541043525492569e-01
2.437100000000000044e+00,1.705604861513165815e-01
2.436900000000000066e+00,1.124604249139338208e-02
