# B (T), A_asym/A_sym
3.409881812212737451e+00,-1.616297231638627596e-02
3.416907419566644233e+00,-1.776082042177078851e-02
3.423933026920551015e+00,-1.687320738701820338e-02
3.430958634274457797e+00,-1.260784780322491555e-02
3.437984241628364579e+00,-1.386549285406310852e-02
3.445009848982271361e+00,-2.428454903832712175e-02
3.452035456336178143e+00,-3.194716503951919306e-02
3.459061063690084925e+00,-3.178792059490490041e-02
3.466086671043991707e+00,-3.499161861651372413e-02
3.473112278397898489e+00,-3.891666265061892449e-02
3.480137885751805271e+00,-3.624710876517408392e-02
3.487163493105712053e+00,-3.422219189260519018e-02
3.494189100459618835e+00,-4.195535672643419672e-02
3.501214707813525617e+00,-3.684492273986594846e-02
3.508240315167432399e+00,-3.342502841960898197e-02
3.515265922521338737e+00,-3.008759621086738376e-02
3.522291529875245519e+00,-2.486004974427102193e-02
3.529317137229152301e+00,-2.126135691823697466e-02
3.536342744583059083e+00,-2.176690950534311900e-02
3.543368351936965865e+00,-2.028318258527770507e-02
3.550393959290872647e+00,-2.153009903521979976e-02
3.557419566644779430e+00,-1.655392137304689121e-02
3.564445173998686212e+00,-1.073296954762374862e-02
3.571470781352592994e+00,-8.179121295086829238e-03
3.578496388706499776e+00,-4.636331812378236342e-03
3.585521996060406558e+00,1.135722316136315510e-02
3.592547603414313340e+00,1.744183046314259217e-02
3.599573210768220122e+00,1.569254027109766997e-02
3.606598818122126904e+00,1.639212312079571521e-02
3.613624425476033686e+00,1.327717074390147127e-02
3.620650032829940468e+00,3.456383871426906267e-03
3.627675640183847250e+00,1.080055599249492597e-03
3.634701247537754032e+00,9.179546892345074802e-03
3.641726854891660814e+00,9.248014781516501401e-03
3.648752462245567596e+00,5.489019753178508640e-03
3.655778069599474378e+00,8.333313749968708842e-03
3.662803676953381160e+00,7.977447631211109780e-03
3.669829284307287498e+00,1.504521559731604148e-03
3.676854891661194280e+00,3.457545318055508816e-03
3.683880499015101062e+00,6.439714060206609691e-03
3.690906106369007844e+00,1.098863791707051750e-02
3.697931713722914626e+00,1.198067961663000676e-02
3.704957321076821408e+00,1.017481806264758544e-02
3.711982928430728190e+00,9.919531826913671746e-03
3.719008535784634972e+00,1.443922944739337369e-02
3.726034143138541754e+00,4.554950949060118139e-03
3.733059750492448536e+00,1.810862166176506905e-03
3.740085357846355318e+00,1.784346955606994165e-03
3.747110965200262100e+00,3.850571617796301645e-03
3.754136572554168882e+00,7.448377573716850886e-03
3.761162179908075665e+00,2.133551909033469182e-02
3.768187787261982447e+00,2.266237305111326247e-02
3.775213394615889229e+00,2.464879580499496764e-02
3.782239001969796011e+00,2.432606993550133143e-02
3.789264609323702793e+00,2.932769169622384889e-02
3.796290216677609575e+00,3.158017188018086979e-02
3.803315824031516357e+00,3.406940792062967960e-02
3.810341431385423139e+00,4.492215367854768271e-02
3.817367038739329921e+00,4.769089211656617200e-02
3.824392646093236703e+00,4.481269728173766648e-02
3.831418253447143041e+00,4.091180130493707323e-02
3.838443860801049823e+00,3.979985464071603835e-02
3.845469468154956605e+00,3.937970435108288647e-02
3.852495075508863387e+00,3.904336484233726645e-02
3.859520682862770169e+00,3.410843063709118744e-02
3.866546290216676951e+00,3.204554559570366168e-02
3.873571897570583733e+00,3.171624442221756407e-02
3.880597504924490515e+00,3.738133876452839899e-02
3.887623112278397297e+00,4.088906313925373681e-02
3.894648719632304079e+00,4.041016513018740042e-02
3.901674326986210861e+00,3.105190509372673935e-02
3.908699934340117643e+00,3.606786238311576742e-02
3.915725541694024425e+00,3.818645903037379274e-02
3.922751149047931207e+00,3.670051879173210491e-02
3.929776756401837989e+00,3.706892558119318642e-02
3.936802363755744771e+00,3.838836187073920575e-02
3.943827971109651553e+00,3.233180620530055199e-02
3.950853578463558335e+00,2.906853134164339575e-02
3.957879185817465117e+00,2.915349247384789802e-02
3.964904793171371900e+00,2.941207097044834864e-02
3.971930400525278682e+00,2.552845076627651213e-02
3.978956007879185464e+00,2.212676571725043229e-02
3.985981615233091802e+00,2.255782997676005971e-02
3.993007222586998584e+00,1.985450672530118810e-02
4.000032829940905366e+00,2.064975560522239531e-02
4.007058437294812592e+00,2.099407635361483226e-02
4.014084044648718930e+00,2.477831533308684150e-02
4.021109652002626156e+00,3.059379721483121081e-02
4.028135259356532494e+00,3.119623243421372830e-02
4.035160866710439720e+00,3.372858714080092385e-02
4.042186474064346058e+00,3.961016043578451107e-02
4.049212081418253284e+00,4.080944788632419329e-02
4.056237688772159622e+00,3.672414181000353134e-02
4.063263296126066848e+00,2.899124261244717671e-02
4.070288903479973186e+00,2.415660689609575029e-02
4.077314510833880412e+00,1.615188848959493717e-02
4.084340118187786750e+00,1.479421965002386020e-02
4.091365725541693976e+00,1.257221617875074575e-02
4.098391332895600314e+00,1.225629761356483022e-02
4.105416940249507540e+00,7.264779927136400493e-03
4.112442547603413878e+00,7.215132320616767479e-03
4.119468154957321104e+00,1.246651951007611038e-02
