# T (K), alpha_33 (Neper/m)
4.364999999999999991e-01,1.199683160688005046e+01
4.368000000000000216e-01,1.201956087117741845e+01
4.375000000000000000e-01,1.165954231048203837e+01
4.378000000000000225e-01,1.152950753542791063e+01
4.380999999999999894e-01,1.169303910178336992e+01
4.384000000000000119e-01,1.185865551261895234e+01
4.390999999999999903e-01,1.196863102821362190e+01
4.394000000000000128e-01,1.195978422140910880e+01
4.396999999999999797e-01,1.200267373399537973e+01
4.400000000000000022e-01,1.168681913509226433e+01
4.406999999999999806e-01,1.176541952648403822e+01
4.410000000000000031e-01,1.205006959743991501e+01
4.414000000000000146e-01,1.203457598121099181e+01
4.416999999999999815e-01,1.186749706548380345e+01
4.423000000000000265e-01,1.173728882270597751e+01
4.426999999999999824e-01,1.199968912455915415e+01
4.430000000000000049e-01,1.171385039185383903e+01
4.434000000000000163e-01,1.165074738837506629e+01
4.440000000000000058e-01,1.130578379955341006e+01
4.442999999999999727e-01,1.137736086625341159e+01
4.445999999999999952e-01,1.163551364142654165e+01
4.450000000000000067e-01,1.123670852256668695e+01
4.455999999999999961e-01,1.117268126332874090e+01
4.459000000000000186e-01,1.109847343529304453e+01
4.462999999999999745e-01,1.131193051026411922e+01
4.465999999999999970e-01,1.129283408269475331e+01
4.472999999999999754e-01,1.152681288959661288e+01
4.475999999999999979e-01,1.162264425332386963e+01
4.480000000000000093e-01,1.163460031243243975e+01
4.482999999999999763e-01,1.143184771176152026e+01
4.489000000000000212e-01,1.169888825460998305e+01
4.491999999999999882e-01,1.158632956175324580e+01
4.495999999999999996e-01,1.158645969622511984e+01
4.501999999999999891e-01,1.160866727033840107e+01
4.505000000000000115e-01,1.188584567657881053e+01
4.509000000000000230e-01,1.186724697828481112e+01
4.511999999999999900e-01,1.195716790644178218e+01
4.517999999999999794e-01,1.196983962896933917e+01
4.521999999999999909e-01,1.191014980163163273e+01
4.525000000000000133e-01,1.188127932521706498e+01
4.527999999999999803e-01,1.194000872849210282e+01
4.531999999999999917e-01,1.194648072912559655e+01
4.537999999999999812e-01,1.226504118134926102e+01
4.541000000000000036e-01,1.227280402827273065e+01
4.544000000000000261e-01,1.244699164660846691e+01
4.547999999999999821e-01,1.251627880276373617e+01
4.554000000000000270e-01,1.293711902456561802e+01
4.556999999999999940e-01,1.306158288136793999e+01
4.561000000000000054e-01,1.314872642968975924e+01
4.563999999999999724e-01,1.300012155362605881e+01
4.571000000000000063e-01,1.316369716606777729e+01
4.573999999999999733e-01,1.286657910683402406e+01
4.576999999999999957e-01,1.308446866081771987e+01
4.581000000000000072e-01,1.322461795183107824e+01
4.586999999999999966e-01,1.339506356456513458e+01
4.590000000000000191e-01,1.321062406114970145e+01
4.593999999999999750e-01,1.318417018649824968e+01
4.600000000000000200e-01,1.321182889491046808e+01
4.602999999999999869e-01,1.325914945682711732e+01
4.606999999999999984e-01,1.329644823537410048e+01
4.610000000000000209e-01,1.336870106582728113e+01
4.612999999999999878e-01,1.325099277552885724e+01
4.622999999999999887e-01,1.311614166534241122e+01
4.627000000000000002e-01,1.317566302150680713e+01
4.630000000000000226e-01,1.344155666331948851e+01
4.632999999999999896e-01,1.366701337087170032e+01
4.640000000000000235e-01,1.384796423680359112e+01
4.642999999999999905e-01,1.350380996915237120e+01
4.646000000000000130e-01,1.346300522754631857e+01
4.650000000000000244e-01,1.336143832628818018e+01
4.656000000000000139e-01,1.334903070083555576e+01
4.660000000000000253e-01,1.338943114639459964e+01
4.662999999999999923e-01,1.363137832324696319e+01
4.666000000000000147e-01,1.348385595950503557e+01
